SES,LECTURE,ECRIT
1,57,52
2,68,59
3,44,33
3,63,44
2,47,52
2,44,52
2,50,59
2,34,46
2,63,57
2,57,55
2,60,46
2,57,65
3,73,60
3,54,63
1,45,57
1,42,49
3,47,52
2,57,57
3,68,65
2,55,39
2,63,49
2,63,63
2,50,40
3,60,52
2,37,44
2,34,37
3,65,65
2,47,57
3,44,38
1,52,44
2,42,31
3,76,52
3,65,67
2,42,41
3,52,59
3,60,65
2,68,54
3,65,62
1,47,31
2,39,31
2,47,47
2,55,59
2,52,54
1,42,41
3,65,65
1,55,59
3,50,40
2,65,59
2,47,59
2,57,54
2,53,61
3,39,33
2,44,44
2,63,59
2,73,62
3,39,39
1,37,37
2,42,39
2,63,57
2,48,49
2,50,46
3,47,62
1,44,44
2,34,33
3,50,42
2,44,41
2,60,54
1,47,39
1,63,43
2,50,33
2,44,44
3,60,54
2,73,67
2,68,59
2,55,45
1,47,40
3,55,61
3,68,59
2,31,36
3,47,41
3,63,59
1,36,49
2,68,59
1,63,65
2,55,41
3,55,62
3,52,41
3,34,49
2,50,31
3,55,49
2,52,62
1,63,49
3,68,62
1,39,44
1,44,44
1,50,62
2,71,65
3,63,65
1,34,44
3,63,63
3,68,60
3,47,59
1,47,46
3,63,52
2,52,59
2,55,54
3,60,62
1,35,35
1,47,54
3,71,65
2,57,52
1,44,50
3,65,59
1,68,65
3,73,61
2,36,44
3,43,54
3,73,67
1,52,57
1,41,47
1,60,54
2,50,52
2,50,52
2,47,46
1,47,62
3,55,57
2,50,41
2,39,53
3,50,49
1,34,35
2,57,59
1,57,65
2,68,62
2,42,54
1,61,59
3,76,63
2,47,59
2,46,52
2,39,41
2,52,49
1,28,46
3,42,54
2,47,42
2,47,57
2,52,59
3,47,52
2,50,62
2,44,52
1,47,41
1,45,55
1,47,37
3,65,54
2,43,57
2,47,54
2,57,62
2,68,59
2,52,55
2,42,57
2,42,39
3,66,67
1,47,62
2,57,50
3,47,61
1,57,62
2,52,59
1,44,44
2,50,59
1,39,54
2,57,62
1,57,60
1,42,57
2,47,46
3,42,36
3,60,59
1,44,49
1,63,60
2,65,67
2,39,54
3,50,52
1,52,65
2,60,62
2,44,49
3,52,67
2,55,65
3,50,67
1,65,65
2,52,54
2,47,44
3,63,62
1,50,46
1,42,54
3,36,57
2,50,52
3,41,59
2,47,65
2,55,59
2,42,46
2,57,41
2,55,62
3,63,65
